X_Coord,Y_Coord,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
36.66290578,-1.245948826,7321553985,node,34.375,pharmacy,pharmacy,Trafalger Pharmacy,private,,,private,operational,,,,,,yes,yes,,,water_works,grid,,,,,,,,82517398,1,2020/03/23 10:22:37+00,ebdd094edcac456a8bafd8cd1e9f619a
36.84937077,-1.313682231,3856214866,node,9.375,pharmacy,,Newstart Herbal,,,,,,,,,,,,,,,,,,,,,,,,35548151,1,2015/11/24 11:18:43+00,12e2d48dcf7146ab921ba95607044ce2
36.88782745,-1.219639624,8416284519,node,28.125,clinic,clinic,Berton Health Specialists Clinic,,,gynaecology;radiology,private,operational,Mo-Fr 08:00-17:00,5,,,,,,,,,,,,,,,,,99131660,1,2021/02/11 19:50:53+00,2ccf0aa493c949deb90987db1f1fc2fc
,,1099826202,way,12.5,hospital,hospital,Kapteldon Health Center,,,,,,,,,,,,,,,,,,,,,,,,151470442,2,2024/05/17 20:07:22+00,d7baa304a9c94c96ab07df25e709cd6e
36.81972532,-1.292106123,8420929917,node,18.75,clinic,clinic,Genessaret Clinic,,,,,,Mo-Fr 08:00-17:00,0,,,,,,,,,,,,,,,,,116986728,2,2022/02/04 02:45:12+00,6e168074003b48dfb1b14f40ad4af575
,,569280187,way,28.125,hospital,hospital,Pumwani Maternity Hospital,,,,government,,24-Jul,350,,,,,,,,,,,,,,General Waruingi Street,,Nairobi,145564372,5,2023/12/27 09:21:54+00,7f2e7ebdc5674027875f11dca16546c1
34.77636996,-0.101048327,8214402682,node,15.625,pharmacy,,Rivet,,,,private,operational,,,,,,,,,,,,,,,,,,,154266435,2,2024/07/22 14:34:40+00,191ed2b78de94006841e525b1b38687c
36.79637493,-1.314630057,7930787272,node,15.625,clinic,,Sprout Medical Clinic,,,,private,operational,,,,,,,,,,,,,,,,,,,134437531,2,2023/04/03 05:43:13+00,4c6d2e2553bd41008c8fb0f22ec7b0c8
35.27958892,-0.371526307,8266931917,node,12.5,doctors,doctor,Orthopedics and Trauma,,,,,,,,,,,,,,,,,,,,,,,,145848433,2,2024/01/03 17:17:12+00,f56b99d83dd44be4b34aab751ecc8f80
37.44514522,-1.663103071,5641419316,node,18.75,clinic,,DG Peter's Medical Center,,,,,,Mo- Fr 7:00-7:00,,,,,yes,,,,,always,,,,,,,,61359703,2,2018/08/04 18:35:55+00,dce88df0468140028939f1453ca3278c
36.91360356,-1.277394206,8415817017,node,25,clinic,clinic,Chasmile Medical Clinic,,,,private,operational,Sa-Su 08:00-17:00,0,,,,,,,,,,,,,,,,,99126184,1,2021/02/11 17:50:45+00,415faf4afb484094960bc8a5a64e718d
,,48161236,way,18.75,hospital,,Amref-Kibera Health Centre,,,,ngo_international,operational,Mo-Fr 08:00-16:30,,,,,,,,,,,,,,,,,,127167451,2,2022/10/07 18:55:05+00,2dacb68474c240b3be0ec99d4e8960d2
36.90113338,-1.288816058,8415831221,node,25,clinic,clinic,Aga Khan University Hospital - (Greenspan Mall Clinic),,,,private,operational,Mo-Fr 08:00-17:00,2,,,,,,,,,,,,,,,,,110050907,3,2021/08/22 08:10:08+00,73ee4bf382d24eeeb424f6fe08c9e0fb
36.79605692,-1.317367838,612008640,node,21.875,clinic,,Silanga Dispensary,,,,ngo_international,operational,Mo-Fr 08:00-17:00,,,,,yes,,,,,,,,,,,,,134436534,16,2023/04/03 04:49:06+00,4c0f47211c07416cb3daa73c24545c48
35.91773992,-0.064620072,6799533364,node,15.625,clinic,,Kipsogon Health Center,,,,,,,,,,,yes,,,,,always,,,,,,,,154265250,4,2024/07/22 14:05:51+00,b22140a744b042d6a49042d1bb9c12c4
34.77897162,-0.110480063,8191008644,node,15.625,clinic,,C1 Health Clinic,,,,private,operational,,,,,,,,,,,,,,,,,,,154266435,2,2024/07/22 14:34:40+00,7a6498964e4a4cf780dffa2dc7e03ea9
,,539695069,way,21.875,hospital,hospital,Royal Medical & Maternity,,,,private,operational,24-Jul,,,,,,,,,,,,,,,,,,134436534,3,2023/04/03 04:49:06+00,25d3811d4433432695c0d65ad8359782
,,798307185,way,12.5,hospital,hospital,Lundi Dispensary,,,,,,,,,,,,,,,,,,,,,,,,84402530,1,2020/04/30 10:03:30+00,a03def55bb384ba1a1e89f12fdbdacbb
36.88849993,-1.250260058,8891905585,node,12.5,clinic,clinic,Provide International Korogocho,,,,,,,,,,,,,,,,,,,,,,,,107379304,1,2021/07/04 08:08:24+00,ebb6c020672e463c8ab237d4b36f1ce7
36.74684886,-1.290000672,8074036743,node,15.625,pharmacy,,Kawangware Chemist,,,,unknown,unknown,,,,,,,,,,,,,,,,,,,93408841,1,2020/11/02 09:38:34+00,3a113cbc647140c089a02f3ed154e97c
,,795163543,way,18.75,hospital,hospital,Kobuya Health Center,Government of Kenya,,,government,,,,,,,,,,,,,,,,,,,,83987285,1,2020/04/23 08:37:21+00,ab8ebba92e474972835d975a934e47f7
,,643339000,way,18.75,hospital,hospital,Gatundu District Hospital,,,,,,,,,,,,,,,,,,,,,Gatundu-Kinare Road,,Gatundu,64399626,1,2018/11/12 10:14:05+00,85b1c7cc8d614f338732879d4d046188
,,366311075,way,9.375,hospital,,Konton Dispensry,,,,,,,,,,,,,,,,,,,,,,,,33414878,1,2015/08/18 13:09:17+00,c296ec7aaa5a4cf09dd36005bfd18070
35.74327329,0.492964495,5781632990,node,9.375,clinic,,Sundowner Chemist,,,,,,,,,,,,,,,,,,,,,,,,61817326,2,2018/08/20 09:44:48+00,dcaa1a3f99224a0986b5b0e3c541cc03
40.36031674,1.669426547,3781927480,node,9.375,clinic,,Argane Dispensary,,,,,,,,,,,,,,,,,,,,,,,,34567731,1,2015/10/11 11:54:27+00,caeec5195c4b4529b6cfe9a10b6556df
34.74593276,-0.080834361,8214402712,node,15.625,pharmacy,,N/A,,,,private,operational,,,,,,,,,,,,,,,,,,,154265250,2,2024/07/22 14:05:51+00,c93f6e504fb943c5b1ec4c7462ba07c8
36.81980042,-1.292146356,8432644717,node,25,clinic,clinic,Exselle Health Care,,,,private,operational,Mo-Su 09:00-17:00,3,,,,,,,,,,,,,,,,,116986728,2,2022/02/04 02:45:12+00,910882899b544d4d95a28ea00cb14116
40.16919233,-2.44114066,11645444599,node,25,pharmacy,,Tarasaa Catholic pharmacy,Nurse,KRCS2023,,religious,operational,8-10hours,,,,,,,,,,,,,,,,,,147690185,1,2024/02/20 12:26:25+00,d475ce1fda3843efa10225409add4b5d
36.90316624,-1.218382506,8429616117,node,25,clinic,clinic,Kasarani Claycity Medical Centre (Kasarani),,,,private,operational,Mo-Fr 08:00-17:00,0,,,,,,,,,,,,,,,,,116137052,2,2022/01/14 08:23:10+00,70819385a9764fbcb44bc3105572cceb
36.88785058,-1.246879804,2405823297,node,9.375,clinic,,Redeemed Gospel Church Clinic,,,,,,,,,,,,,,,,,,,,,,,,17201651,1,2013/08/03 09:20:18+00,71c100d49785492283c8c7475c7d172d
36.74837663,-1.2912567,8074036801,node,15.625,pharmacy,,Ninalink Chemist,,,,unknown,unknown,,,,,,,,,,,,,,,,,,,93408841,1,2020/11/02 09:38:34+00,178d2b4cb3d848a6a83baf77dc1e3384
35.34911018,-1.338394428,1599710046,node,9.375,doctors,,Olesere Community Health Center,,,,,,,,,,,,,,,,,,,,,,,,10731193,2,2012/02/19 15:29:09+00,b089338893484d58bff290cc166050eb
36.87252796,-1.314624022,8432649917,node,28.125,clinic,clinic,Fairview Nursing Home Kware,,,gynaecology,private,operational,24-Jul,8,,,,,,,,,,,,,,,,,99470610,1,2021/02/17 18:14:01+00,8f1c074d463e42d08003b7a0c78405ac
34.76603927,-0.089840968,8190820921,node,15.625,hospital,,Tuungane Hospital,,,,private,operational,,,,,,,,,,,,,,,,,,,137468895,2,2023/06/18 07:37:23+00,7997d23d6d544a6c94af4275e94de233
36.78227364,-1.312434501,698602290,node,21.875,pharmacy,,REMS,,,,private,operational,08:00-19:00,,,,,yes,,,,,,,,,,,,,6012696,3,2010/10/11 15:28:29+00,d53cf2a722324445ad71c86b825a10f5
36.77586525,-1.311211414,4963467523,node,21.875,clinic,,Rosade Medical Clinic,,,,private,operational,08:00-20:00,,,,,,,,,,,,,,,,,,135608976,3,2023/05/02 10:09:37+00,4c35fdfcd3eb41d2bb19f2927c82d1db
36.94772696,-1.289123925,8428495317,node,25,clinic,clinic,Equity Afia Utawala Medical Centre,,,,private,operational,Mo-Su 09:00-17:00,7,,,,,,,,,,,,,,,,,136372097,2,2023/05/21 13:18:07+00,063adaee8fcb4c10a1341aead6962b2b
36.90187526,-1.183507335,2417344957,node,9.375,pharmacy,,Rugi Chemist,,,,,,,,,,,,,,,,,,,,,,,,22761069,2,2014/06/05 18:28:56+00,28a3693b211c4b4a82b1d44d20557921
36.87025764,-1.253447947,1038219168,node,18.75,pharmacy,pharmacy,Nuffield Medical Service Providers,,,,,,24-Jul,,,,,yes,,,,,,,,,,,,,100224317,4,2021/03/01 18:18:56+00,a395a898b6b54c818dcc05793acb6fe9
39.52910562,-3.522676654,3421461747,node,12.5,hospital,,mbazizo medical clinic,,,,cbo,,,,,,,,,,,,,,,,,,,,30194481,3,2015/04/13 18:07:50+00,97117fa2e3f24045bfc470c74f042c7c
,,421281956,way,21.875,hospital,hospital,Ngong Road Health Centre,Nairobi County,,general,public,,,,,,,,,,,,,,,,,,,,116064787,5,2022/01/12 12:19:16+00,ecfd7e1e1d0d45fabd950a48b3977d94
36.87069995,-1.310740015,8895109584,node,12.5,dentist,dentist,Paradise Medical Center,,,,,,,,,,,,,,,,,,,,,,,,107443022,1,2021/07/05 13:34:48+00,9b9036ce51c949c7804bffbb0587cefa
36.79762048,-1.313301357,2016217939,node,18.75,dentist,,Kibera Medical Clinic,,,,private,operational,Mo-Fr 08:00-20:00,,,,,,,,,,,,,,,,,,134493322,4,2023/04/04 12:13:47+00,ee9d5d91b0ee4df0b13ebb404be09d81
36.79550078,-1.316783451,696656808,node,25,pharmacy,,Silanga Pharmacy,,,,private,operational,Mo-Su 08:30-22:00,,,,,yes,,,,,,,,,,,,,134436534,4,2023/04/03 04:49:06+00,af46004416fe45a69f84f9c06d744be3
,,352172759,way,18.75,hospital,,Olenguruone District Hospital,Government,,,,,,,,,,,,yes,,,,,,,,,,Olenguruone,31801769,1,2015/06/07 22:49:59+00,f40737fec4f6443586db612fb0d8f95e
36.89694067,-1.239866079,2405883359,node,9.375,pharmacy,,,,,,,,,,,,,Lucky summer pharmacy,,,,,,,,,,,,,65187818,2,2018/12/05 08:05:43+00,13fdf333bc9e45cbbed816814a329cfc
,,792432279,way,12.5,hospital,hospital,Tumaini community clinic,,,,,,,,,,,,,,,,,,,,,,,,83630199,1,2020/04/16 07:08:29+00,5102feedb1554131a2165652cabc27b4
36.75140828,-1.28866334,8074036744,node,15.625,pharmacy,,Late Night Chemist,,,,unknown,unknown,,,,,,,,,,,,,,,,,,,93408841,1,2020/11/02 09:38:34+00,4974323230e6487780e7f76277821d9b
36.07351549,-0.301503217,9097199068,node,18.75,pharmacy,pharmacy,Tazama Chemist,,,,,,Mo-Su 08:00-21:30,,,,,yes,,,,,,,,,,,,,111334896,2,2021/09/17 12:09:53+00,39db2479863744b8b400b9767d27c884
36.86457663,-1.259559947,2378857107,node,21.875,pharmacy,,Ubora harbal chemist,,,,private,operational,06:00-21:30,,,,,yes,,,,,,,,,,,,,19292003,3,2013/12/05 16:14:20+00,267098b044a14b1f9aea79eb8e4c435f
34.78300826,-0.089053069,8190976971,node,15.625,clinic,,Sirinde Clinic,,,,private,operational,,,,,,,,,,,,,,,,,,,154265250,2,2024/07/22 14:05:51+00,69eef5d22d9f444aa0c259aa3d76f829
,,559725838,way,18.75,hospital,hospital,Aga Khan University Hospital,,,,,,,,,,,,,,,,,,,,,Ronald Ngala Road,,Mombasa,123014246,3,2022/06/29 18:24:19+00,afbbdbca1f5d4af2b660769c8fabbeba
39.65420099,-0.485130013,11364707369,node,21.875,pharmacy,,Iftin pharmacy,Private consultant,,,private,operational,sunrise-sunset,,,,,,,,,,,,,,,,,,144257155,1,2023/11/20 17:57:19+00,5a358e9403b24439b94c7569b8c0567d
36.81773537,-1.28388423,5555073945,node,21.875,clinic,clinic,Karen Hospital Clinic,,,,,,,,,,,,,,,,,,,,"2nd floor Chester House,",Koinage Street,,Nairobi,127095515,3,2022/10/06 10:48:53+00,5d9d49a730f64157998b8a5295618088
36.799752,-1.298961849,5401775775,node,21.875,clinic,clinic,Careville Wellness Centre,,,,,,,,,,,,,,,,,,,,"Suite 5, 2nd Floor, Bayswater Apartment, Ngong Rd, Nairobi",Ngong Road,,Nairobi,135621435,2,2023/05/02 15:19:53+00,3f7b3e8b8f694d0aa0d3fbc3fde25e72
36.75330025,-1.282154876,8074036800,node,15.625,pharmacy,,Larmar,,,,unknown,unknown,,,,,,,,,,,,,,,,,,,93408841,1,2020/11/02 09:38:34+00,986007fb1dbb41c28a7d8ef11e04bd03
40.00738648,1.62762784,3713167017,node,12.5,pharmacy,pharmacy,Lehely District Hospital,,,,,,,,,,,,,,,,,,,,,,,,92421456,2,2020/10/13 13:41:45+00,9537d03c637c46f8a9f703d8d1bf99df
,,792407657,way,28.125,hospital,hospital,Wema Medical Clinic,Child and Family wellness shops,,,private,operational,24-Jul,,,,,,,,,,,,,,,,,,83624514,1,2020/04/16 05:24:16+00,980ad68fdd75463f943b463681155f9e
35.97990162,0.468861662,6807606134,node,12.5,clinic,,,,,,,,,,,,,yes,,,,,sometime,,,,,,,,154754163,2,2024/08/02 21:36:19+00,aee33ee1b7e6485aa4376bda123d6ae5
34.77181959,-0.671695252,6763674285,node,9.375,pharmacy,,NYAKONGO PLAZA,,,,,,,,,,,,,,,,,,,,,,,,73969025,1,2019/09/01 09:59:35+00,e173ab070e6c4911a4a664fe428f82a3
36.77395745,-1.310475063,1804804146,node,18.75,dentist,,Familly Dental Care,,,,private,operational,Mo-Fr 08:30-20:00,,,,,,,,,,,,,,,,,,135608976,3,2023/05/02 10:09:37+00,c584ae65340b4c8e8e680b29234c02c0
39.6523149,-0.484835221,11364707374,node,21.875,hospital,,Baitul tiba,Fatuma abdi,,,private,operational,24-Jul,,,,,,,,,,,,,,,,,,144257155,1,2023/11/20 17:57:19+00,fa8a85ce17754e91a357ef3470aeaa0b
36.87205413,-1.310769352,12244131029,node,21.875,hospital,,Bripa hospital,,survey,,private,operational,,,,,,,yes,,,,,,,,,,,,159446655,4,2024/11/22 07:43:30+00,130fbb313b494c3bbb31d0cc1d597f58
35.73640742,-0.252984906,2165018909,node,15.625,pharmacy,,Tevin Medical Clinic,,Field Survey,,,,,,,,,yes,,,,,,,,,,,,,15108838,1,2013/02/21 08:11:26+00,26172b4a405a47b589e84e6593826272
36.79797445,-1.295219245,5414200513,node,18.75,pharmacy,pharmacy,Rosegate Pharmacy,,,,,,,,,,,,,,,,,,,,,Argwings Kodhek Road,,Nairobi,135969376,2,2023/05/11 09:53:03+00,7c0a669dc28e4093b612bc614f5639a4
36.8790956,-1.316741626,914492972,node,9.375,pharmacy,,Sunrise Medicare,,,,,,,,,,,,,,,,,,,,,,,,5795780,1,2010/09/16 13:38:03+00,f7c78ef414ae433e87784e17f6f7a2a6
36.84235084,-1.311188112,3856041357,node,9.375,clinic,,clinic,,,,,,,,,,,,,,,,,,,,,,,,35545393,1,2015/11/24 08:22:52+00,a30bb5e84008415cb463f948a3ffbceb
39.05227348,3.514489044,7260938234,node,15.625,hospital,hospital,Moyale Gen Hospital,,,,,,,,,,,,,,,,,,,,,,,Moyale,81731337,1,2020/03/03 14:06:49+00,e06b28a6a180459daf7b25e7763ec5b7
,,233704574,way,9.375,hospital,,Logo-Logo Health Centre,,,,,,,,,,,,,,,,,,,,,,,,154487674,2,2024/07/27 14:48:14+00,01034eece884499d9e4a62728f6986de
34.77095668,-0.044987141,9587605887,node,12.5,hospital,hospital,St. Monica Hospital,,,,,,,,,,,,,,,,,,,,,,,,118628871,1,2022/03/18 11:26:44+00,302bc9dac8fa4a7189ff215afbf49a4f
34.48784097,0.33564556,6241666287,node,18.75,hospital,hospital,Mumias Mission,,,,,,,,,,,,,,,,,,,,,Mumias-Bungoma Road,,Mumias,134112120,2,2023/03/25 17:29:07+00,1d225187dcd04131ab774451c57c61d5
,,387483418,way,6.25,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,135328609,2,2023/04/25 06:39:32+00,1031c69f1b1d406ab89bd983379b9e14
36.88191074,-1.265300964,8415805017,node,25,clinic,clinic,Cefi Nursing Home,,,,private,operational,Sa-Su 08:00-17:00,0,,,,,,,,,,,,,,,,,99125700,1,2021/02/11 17:47:40+00,943bfb212f53429483cfda140f08b3f3
36.78782598,-1.306143882,4963507352,node,9.375,clinic,,Kibera LVCT Health Dream Centre,,,,,,,,,,,,,,,,,,,,,,,,134812930,2,2023/04/12 11:38:38+00,1092d92180094c8ab08c33f7f35c84b6
36.85933669,-1.261838316,7952200617,node,15.625,clinic,,Core,,,,private,operational,,,,,,,,,,,,,,,,,,,91659564,1,2020/09/28 17:45:03+00,90a0e31192e740c6993cd579e36b62dd
37.06852217,0.021734736,4581729090,node,9.375,clinic,,Maternity Nursing home,,,,,,,,,,,,,,,,,,,,,,,,44792393,1,2016/12/30 19:12:33+00,af6d3f724b9841028ec0c18271a47491
34.78312997,-0.108880042,8190962601,node,15.625,clinic,,Get Way Medical Services,,,,private,operational,,,,,,,,,,,,,,,,,,,154266435,2,2024/07/22 14:34:40+00,17b8a677e4714af69d61eba95112a0d0
36.78610383,-1.307713645,612009706,node,21.875,pharmacy,,Herbal Chemist,,,,private,operational,07:30-19:00,,,,,,,,,,,,,,,,,,134809251,8,2023/04/12 10:10:45+00,4e8fec69def94b0c8825adfc23f03d77
36.86478073,-1.258772719,2385083676,node,21.875,pharmacy,,Cordial medical clinic,,,,private,operational,Mo-Fr 08:30-20:00,,,,,yes,,,,,,,,,,,,,65113705,3,2018/12/03 06:12:03+00,e552763ef6004618b26f58db5be80725
34.17901787,0.206283541,2631115731,node,9.375,hospital,,Matibabu Hospital,,,,,,,,,,,,,,,,,,,,,,,,20121970,1,2014/01/21 13:02:32+00,fa32de5d02ec4edf97cfee8e158d2249
36.36232713,0.0385371,2475402441,node,15.625,hospital,,Nyahururu General Hospital,,,,,,,,,,,,,,,,,,,,,Nyeri-Nyahururu Road,,Nyahururu,66704643,2,2019/01/28 12:42:22+00,513c0527598f450393a8ce0a5a3852a4
36.88839993,-1.250020084,8891997091,node,12.5,*,alternative,Faith healer,,,,,,,,,,,,,,,,,,,,,,,,107380437,1,2021/07/04 08:44:18+00,518ec44d1c164376b2239013e7740425
36.82365777,-1.320563941,8415831218,node,25,clinic,hospital,Arawelo Medical Centre Limited,,,gynaecology,,operational,24-Jul,15,,,,,,,,,,,,,,,,,109655038,2,2021/08/14 04:37:31+00,d46fc78b00884c6a842bd7886549416b
36.87549993,-1.311310069,8894604392,node,12.5,pharmacy,pharmacy,Stepps Chemist,,,,,,,,,,,,,,,,,,,,,,,,107429931,1,2021/07/05 09:39:09+00,b413422290d84567994e5d306305471d
,,731056041,way,18.75,hospital,hospital,Mathare Mental Hospital,,,,,,,,,,,,,,,,,,,,,Thika Road,,Nairobi,137011388,2,2023/06/06 11:51:31+00,ae0ffab5d6c748118b43fa87d6532ba4
36.79038397,-1.309073944,698592302,node,21.875,pharmacy,,Chemist,,,,private,operational,Mo-Fr 08:30-20:00,,,,,yes,,,,,,,,,,,,,134437531,4,2023/04/03 05:43:13+00,2a3d79633bc645b5af8ca37e1af03bda
36.77597313,-1.316390927,4963527055,node,21.875,clinic,clinic,Beyond Zero Community Clinic,,,,ministry_of_health,operational,08:00-17:00,,,,,,,,,,,,,,,,,,160252991,5,2024/12/13 16:21:35+00,ab94c78fbc974aa79b0fcdb309adde49
36.87059995,-1.310730041,8894592637,node,12.5,clinic,clinic,St. Joans Medical Center,,,,,,,,,,,,,,,,,,,,,,,,107429683,1,2021/07/05 09:34:43+00,5c2406d31e5e4811a20860493c8165c6
36.88049999,-1.309040081,8895124062,node,12.5,hospital,hospital,Cana Family Health Center,,,,,,,,,,,,,,,,,,,,,,,,107442924,1,2021/07/05 13:32:51+00,e318744b7cde4244a795b2dbf2793fbf
35.11880532,1.290680194,6908747811,node,12.5,clinic,,Kapkoris Dispensary,,,,,,,,,,,yes,,,,,,,,,,,,,114511574,3,2021/12/03 07:52:21+00,4b18d96137434444922c2996ecf8ea51
37.45459539,-1.65903525,5641420360,node,18.75,hospital,,Mbooni Sub-County Hospital,,,,,,24-Jul,,,,,yes,,,,,always,,,,,,,,75323374,5,2019/10/05 16:52:20+00,4fdbe706a2ab47bd8386c776390ca03f
37.15625664,-0.71989153,3105367374,node,15.625,pharmacy,,Acess Health Pharmacy,,,,,,Mo-Sa 08:00-18:00,,,,,yes,,,,,,,,,,,,,64908393,2,2018/11/26 18:50:18+00,164fffba6b024174a834a4e6ba459665
37.62783609,-1.784172538,5588163884,node,15.625,hospital,,Makueni County Referral Hospital,,,,,,,,,,,,,,,,,,,,,Wote-Makindu Road,,Wote,153861106,6,2024/07/12 15:32:36+00,7eec7c523c9f4852b86db96aeed43454
37.14958649,-0.731933643,3105367409,node,15.625,pharmacy,,Mukuyu Chemist,,,,,,Mo-Sa 08:00-18:00,,,,,yes,,,,,,,,,,,,,31438821,2,2015/05/25 08:53:21+00,a191365e23344f1298f0d08b5b530891
39.60331815,-4.010103853,12556066727,node,12.5,hospital,hospital,Ansari hospital,,,,,,,,,,,,,,,,,,,,,,,,162116981,1,2025/02/04 09:29:48+00,8f8cc1891cae4a6993cb09fe59e1f81c
36.06629147,-0.285305022,3078100353,node,12.5,pharmacy,pharmacy,Ngata bridge,,,,,,,,,,,,,,,,,,,,,,,,120837151,4,2022/05/11 11:58:53+00,229f6d82705546aba03a4e037f8a7449
36.86354247,-1.262871553,4503879853,node,18.75,clinic,,Villa Medical Centre,,,,private,operational,08:00-21:00,,,,,,,,,,,,,,,,,,64907797,2,2018/11/26 18:28:12+00,15e07adf22644d9d985e9a98233a059d
,,797911025,way,18.75,hospital,hospital,Kipsoit Dispensary,,,,,,,,,,,no,,,,,none,,,,,,,,84334558,1,2020/04/29 11:26:23+00,085fdd197f304bc4994d8566300c8a8b
36.83924744,-1.308895158,3856130660,node,9.375,pharmacy,,andrews chemist,,,,,,,,,,,,,,,,,,,,,,,,35546881,1,2015/11/24 09:58:31+00,e229f6da02b84583989cfb5da04f7ae4
36.84502492,-1.265036766,7952200601,node,18.75,hospital,,The Jordon Hospital,,,,private,operational,,,,,operating_theatre,,,,,,,,,,,,,,93783612,2,2020/11/09 08:54:18+00,25ee569d5ea549f5824c4a4d191bd4e8
34.03530553,0.153656086,11586713101,node,21.875,pharmacy,,Philocare Pharmacy,Private-Philip,KRCS2023,,Private,,8am - 8pm,,,,,,,,,,,,,,,,,,147149821,2,2024/02/06 20:06:38+00,9260b1885772421095038cc1a8c77b3b
,,731554425,way,18.75,hospital,hospital,St. Mulumba Hospital,,,,,,,,,,,,,,,,,,,,,Garissa Road,,Thika,75275286,1,2019/10/04 10:43:22+00,949977b8124647b4836744b3a9ead792
36.93508252,-1.191703244,11482256914,node,12.5,hospital,hospital,Emory Hospital,,,,,,,,,,,,,,,,,,,,,,,,145829238,1,2024/01/03 09:03:25+00,223d382e429a40a7a34a69d38630d028
39.99706802,1.832370577,3702818291,node,9.375,clinic,,Elnur Dispensary,,,,,,,,,,,,,,,,,,,,,,,,33414147,1,2015/08/18 12:31:02+00,59b46167d43e47f0aafb6435784d4890
37.65306025,-0.46837484,560737725,node,9.375,hospital,,karurumo health centre,,,,,,,,,,,,,,,,,,,,,,,,3089987,1,2009/11/11 13:21:14+00,207791eccdb64adaa2f966c2a6a8ef16
34.76648166,-0.080205048,8190831005,node,15.625,clinic,,St.Vincent De'Paul Community Clinic,,,,religious,operational,,,,,,,,,,,,,,,,,,,154265250,2,2024/07/22 14:05:51+00,1b321ac3d16f4d11a29c1f9dd7cb2f0e
